Id,Label,node_type,modularity_class,degree,weighted degree,eigencentrality,pageranks,stat_inf_class,clustering,triangles,X,Y,Size,Color
2511,"F28: riots, french",Full,16,41,4.764467,0.35358,0.001822,10,0.123171,101,295.769684,-1007.426575,26.438356,"#00bd94"
2513,"F29: judges, lawyers, judicial",Full,17,35,3.213715,0.242907,0.001641,28,0.107563,64,-1580.535645,-66.29937,23.972603,"#0011f5"
2515,"F30: congestion, traffic, toll",Full,17,32,2.958697,0.135791,0.001502,16,0.133065,66,-3424.346191,802.215942,22.739727,"#0011f5"
2516,"F31: disasters, flood, tsunami",Full,19,27,2.386837,0.060283,0.00145,24,0.099715,35,2206.992188,986.936401,20.684933,"#b88a00"
2519,"F32: affirmative, discrimination, blacks",Full,16,35,3.315664,0.236862,0.001604,10,0.114286,68,569.964478,-1430.24707,23.972603,"#00bd94"
2522,"F33: minimum, wage",Full,16,36,4.634302,0.391205,0.001401,9,0.160317,101,224.5345,600.589111,24.38356,"#00bd94"
2523,"F34: stimulus, spending",Full,3,35,3.844014,0.324374,0.001593,18,0.141176,84,96.738541,1167.861084,23.972603,"#9900e0"
2526,"F35: nations, countries",Full,15,45,8.454529,0.499052,0.002027,32,0.152525,151,986.370239,-84.055351,28.082193,"#ff8805"
2530,"F36: marriage, gay, homosexual",Full,8,34,4.148248,0.145739,0.001746,5,0.122995,69,3677.074219,-1119.965332,23.561644,"#4c463e"
2533,"F37: automakers, gm",Full,2,36,3.487359,0.282488,0.001629,16,0.111111,70,-1478.120728,848.319885,24.38356,"#73c000"
2535,"F38: drunk, driving, accidents",Full,17,36,3.393318,0.177573,0.001698,16,0.109524,69,-2788.467529,363.403107,24.38356,"#0011f5"
2537,"F39: bankruptcy, creditors, bailout",Full,13,37,4.253834,0.304098,0.001751,16,0.105105,70,34.686321,1595.152588,24.794521,"#ff5584"
2541,"F40: fed, central, independence",Full,13,42,5.441373,0.45333,0.001855,21,0.0964,83,-55.214222,1102.407837,26.849316,"#ff5584"
